TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,DEF_RATING,DREB,DREB_PCT,STL,BLK,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,DEF_RATING_RANK,DREB_RANK,DREB_PCT_RANK,STL_RANK,BLK_RANK,OPP_PTS_OFF_TOV_RANK,OPP_PTS_2ND_CHANCE_RANK,OPP_PTS_FB_RANK,OPP_PTS_PAINT_RANK,GAME_DATE
1610612759,San Antonio Spurs,63,27,36,0.429,3059.0,112.8,2244,0.751,454,345,935.0,848.0,833.0,2998.0,30,20,17,20,30,24,15,4,24,9,2,18,11,11,07/30/2020
1610612761,Toronto Raptors,64,46,18,0.719,3092.0,104.9,2275,0.715,565,316,1085.0,889.0,806.0,2694.0,21,3,3,3,25,2,11,25,2,17,13,23,6,2,07/30/2020
1610612762,Utah Jazz,65,42,23,0.646,3125.0,108.7,2351,0.745,388,262,1097.0,790.0,816.0,3012.0,6,7,7,7,18,10,6,6,30,28,16,6,9,12,07/30/2020
1610612764,Washington Wizards,64,24,40,0.375,3087.0,115.0,2024,0.708,519,273,1057.0,946.0,801.0,3310.0,21,22,22,22,27,30,30,29,13,24,10,28,5,26,07/30/2020
1610612737,Atlanta Hawks,66,20,46,0.303,3203.0,114.4,2199,0.707,517,338,1279.0,999.0,962.0,3528.0,1,25,28,27,1,28,20,29,13,10,29,29,24,30,03/10/2020
1610612738,Boston Celtics,64,43,21,0.672,3097.0,106.2,2259,0.732,529,358,936.0,845.0,856.0,2764.0,14,5,5,5,21,4,11,14,8,7,3,16,17,3,03/10/2020
1610612751,Brooklyn Nets,64,30,34,0.469,3112.0,108.3,2409,0.737,413,292,1097.0,839.0,850.0,2974.0,14,15,15,15,15,8,2,9,27,22,18,15,16,11,03/10/2020
1610612766,Charlotte Hornets,64,22,42,0.344,3102.0,112.9,2031,0.704,421,264,1082.0,847.0,753.0,3240.0,14,23,23,23,17,25,29,30,26,27,15,18,3,22,03/10/2020
1610612741,Chicago Bulls,65,22,43,0.338,3135.0,108.9,2041,0.719,652,265,1157.0,826.0,813.0,3226.0,4,23,24,24,9,13,28,23,1,26,25,12,10,20,03/10/2020
1610612739,Cleveland Cavaliers,65,19,46,0.292,3145.0,114.8,2172,0.738,447,211,1299.0,827.0,938.0,3482.0,4,28,28,29,4,29,22,8,25,30,30,13,22,29,03/10/2020
1610612742,Dallas Mavericks,66,39,27,0.591,3188.0,110.2,2399,0.736,410,332,968.0,897.0,1106.0,3230.0,1,11,13,13,2,17,3,10,28,12,6,26,30,21,03/10/2020
1610612743,Denver Nuggets,64,43,21,0.672,3102.0,108.8,2142,0.728,523,298,976.0,779.0,802.0,3114.0,14,5,5,5,17,12,24,19,10,20,7,7,6,16,03/10/2020
1610612765,Detroit Pistons,65,20,45,0.308,3145.0,112.0,2083,0.719,480,296,1132.0,851.0,827.0,3384.0,4,25,25,25,4,22,27,24,19,21,21,20,11,27,03/10/2020
1610612744,Golden State Warriors,65,15,50,0.231,3145.0,113.0,2138,0.722,534,299,1168.0,880.0,976.0,3174.0,4,30,30,30,4,26,25,21,7,19,26,23,25,19,03/10/2020
1610612745,Houston Rockets,64,40,24,0.625,3087.0,109.9,2212,0.714,541,329,1121.0,890.0,997.0,3296.0,14,9,9,9,24,16,18,26,5,13,20,25,26,25,03/10/2020
