Game_ID,PTS,Player_PPG_last_5,Player_PPG_so_far,DEF_RATING,DEF_RATING_RANK,MIN_Model_Player,MIN_Factor_Teammate,Factor_Teammate_Yes,Factor_Teammate_miss_streak,Starters_PPG_last_5,Bench_PPG_last_5,forward1_def_rating,forward2_def_rating,guard1_def_rating,guard2_def_rating,center_def_rating,guard_off_avg,forward_center_off_avg
22001061,24,22.6,25.046511627906977,111.9,13,28.0,36.0,True,0,36.6,48.6,141.3,134.6,118.3,119.2,109.5,127.6,126.85
22000974,19,22.4,25.19047619047619,111.7,14,28.0,33.0,True,0,36.4,53.4,113.8,93.9,116.5,97.8,112.3,105.95,112.95
22000640,10,28.0,25.5609756097561,111.5,16,11.0,0.0,False,16,38.2,51.8,92.4,60.5,88.4,85.0,86.7,77.65,74.5
22000630,37,24.8,25.275,111.7,18,37.0,0.0,False,17,38.8,55.0,112.9,113.0,118.8,120.5,137.5,105.9,111.5
22000374,28,27.2,23.77777777777778,111.2,18,43.0,0.0,False,1,28.8,36.2,97.8,105.0,97.7,97.6,108.3,98.15,98.45
22000361,33,24.2,22.625,111.9,21,46.0,45.0,True,2,28.0,32.4,114.6,113.7,112.1,122.2,123.2,122.25,114.1
22000341,27,23.2,22.0,111.2,19,35.0,33.0,True,0,25.8,30.2,112.7,118.6,117.8,113.7,112.9,116.75,117.6
22000313,21,23.4,22.166666666666668,108.6,9,38.0,36.0,True,0,22.8,30.4,104.3,113.3,111.7,115.6,116.7,120.5,105.55000000000001
22000302,21,30.6,25.34285714285714,108.9,11,37.0,36.0,True,0,26.2,29.6,101.3,97.3,105.4,109.4,98.6,104.44999999999999,103.5
22000284,22,30.0,25.441176470588236,111.0,23,36.0,0.0,False,0,25.4,31.8,95.7,92.5,94.4,98.0,105.8,99.9,109.15
22000276,34,27.4,25.181818181818183,107.4,5,39.0,35.0,True,1,26.6,35.6,114.9,111.0,122.8,117.7,110.4,117.55000000000001,108.35
22000261,46,23.4,24.53125,108.3,6,38.0,36.0,True,0,27.6,41.0,104.4,102.0,120.3,114.3,118.5,112.25,98.15
22000245,17,25.2,24.774193548387096,112.4,27,29.0,28.0,True,0,31.4,42.2,105.1,100.0,103.8,105.6,85.4,103.85,103.8
22000226,34,22.0,24.466666666666665,108.4,11,38.0,38.0,True,0,29.6,46.8,111.4,109.3,116.3,110.0,115.9,112.94999999999999,108.55
